,model_variable,study_date,L95_p,U95_p,median_p
104,02-6SY,26/12/2022,0,0,0
105,02-6SY,27/12/2022,0,0,0
106,02-6SY,28/12/2022,0,0,0
107,02-6SY,29/12/2022,0,0,0
108,02-6SY,30/12/2022,0,0,0
109,02-6SY,31/12/2022,0,0,0
110,02-6SY,01/01/2023,0,0,0
111,02-6SY,02/01/2023,0,0,0
112,02-6SY,03/01/2023,0,0,0
113,07SY-11SY,09/11/2022,0,0,0
114,07SY-11SY,10/11/2022,0,0,0
115,07SY-11SY,11/11/2022,0,0,0
116,07SY-11SY,12/11/2022,0,0,0
117,07SY-11SY,13/11/2022,0,0,0
118,07SY-11SY,14/11/2022,0,0,0
119,07SY-11SY,15/11/2022,0,0,0
120,07SY-11SY,16/11/2022,0,0,0
121,07SY-11SY,17/11/2022,0,0,0
122,07SY-11SY,18/11/2022,0,0,0
123,07SY-11SY,19/11/2022,0,0,0
124,07SY-11SY,20/11/2022,0,0,0
125,07SY-11SY,21/11/2022,0,0,0
126,07SY-11SY,22/11/2022,0,0,0
127,07SY-11SY,23/11/2022,0,0,0
128,07SY-11SY,24/11/2022,0,0,0
129,07SY-11SY,25/11/2022,0,0,0
130,07SY-11SY,26/11/2022,0,0,0
131,07SY-11SY,27/11/2022,0,0,0
132,07SY-11SY,28/11/2022,0,0,0
133,07SY-11SY,29/11/2022,0,0,0
134,07SY-11SY,30/11/2022,0,0,0
135,07SY-11SY,01/12/2022,0,0,0
136,07SY-11SY,02/12/2022,0,0,0
137,07SY-11SY,03/12/2022,0,0,0
138,07SY-11SY,04/12/2022,0,0,0
139,07SY-11SY,05/12/2022,0,0,0
140,07SY-11SY,06/12/2022,0,0,0
141,07SY-11SY,07/12/2022,0,0,0
142,07SY-11SY,08/12/2022,0,0,0
143,07SY-11SY,09/12/2022,0,0,0
144,07SY-11SY,10/12/2022,0,0,0
145,07SY-11SY,11/12/2022,0,0,0
146,07SY-11SY,12/12/2022,0,0,0
147,07SY-11SY,13/12/2022,0,0,0
148,07SY-11SY,14/12/2022,0,0,0
149,07SY-11SY,15/12/2022,0,0,0
150,07SY-11SY,16/12/2022,0,0,0
151,07SY-11SY,17/12/2022,0,0,0
152,07SY-11SY,18/12/2022,0,0,0
153,07SY-11SY,19/12/2022,0,0,0
154,07SY-11SY,20/12/2022,0,0,0
155,07SY-11SY,21/12/2022,0,0,0
156,07SY-11SY,22/12/2022,0,0,0
157,07SY-11SY,23/12/2022,0,0,0
158,07SY-11SY,24/12/2022,0,0,0
159,07SY-11SY,25/12/2022,0,0,0
160,07SY-11SY,26/12/2022,0,0,0
161,07SY-11SY,27/12/2022,0,0,0
162,07SY-11SY,28/12/2022,0,0,0
163,07SY-11SY,29/12/2022,0,0,0
164,07SY-11SY,30/12/2022,0,0,0
165,07SY-11SY,31/12/2022,0,0,0
166,07SY-11SY,01/01/2023,0,0,0
167,07SY-11SY,02/01/2023,0,0,0
168,07SY-11SY,03/01/2023,0,0,0
169,12SY-24,09/11/2022,0,0,0
170,12SY-24,10/11/2022,0,0,0
171,12SY-24,11/11/2022,0,0,0
172,12SY-24,12/11/2022,0,0,0
173,12SY-24,13/11/2022,0,0,0
174,12SY-24,14/11/2022,0,0,0
175,12SY-24,15/11/2022,0,0,0
176,12SY-24,16/11/2022,0,0,0
177,12SY-24,17/11/2022,0,0,0
178,12SY-24,18/11/2022,0,0,0
179,12SY-24,19/11/2022,0,0,0
180,12SY-24,20/11/2022,0,0,0
181,12SY-24,21/11/2022,0,0,0
182,12SY-24,22/11/2022,0,0,0
183,12SY-24,23/11/2022,0,0,0
184,12SY-24,24/11/2022,0,0,0
185,12SY-24,25/11/2022,0,0,0
186,12SY-24,26/11/2022,0,0,0
187,12SY-24,27/11/2022,0,0,0
188,12SY-24,28/11/2022,0,0,0
189,12SY-24,29/11/2022,0,0,0
190,12SY-24,30/11/2022,0,0,0
191,12SY-24,01/12/2022,0,0,0
192,12SY-24,02/12/2022,0,0,0
193,12SY-24,03/12/2022,0,0,0
194,12SY-24,04/12/2022,0,0,0
195,12SY-24,05/12/2022,0,0,0
196,12SY-24,06/12/2022,0,0,0
197,12SY-24,07/12/2022,0,0,0
198,12SY-24,08/12/2022,0,0,0
199,12SY-24,09/12/2022,0,0,0
200,12SY-24,10/12/2022,0,0,0
201,12SY-24,11/12/2022,0,0,0
202,12SY-24,12/12/2022,0,0,0
203,12SY-24,13/12/2022,0,0,0
204,12SY-24,14/12/2022,0,0,0
205,12SY-24,15/12/2022,0,0,0
206,12SY-24,16/12/2022,0,0,0
207,12SY-24,17/12/2022,0,0,0
208,12SY-24,18/12/2022,0,0,0
209,12SY-24,19/12/2022,0,0,0
210,12SY-24,20/12/2022,0,0,0
211,12SY-24,21/12/2022,0,0,0
212,12SY-24,22/12/2022,0,0,0
213,12SY-24,23/12/2022,0,0,0
214,12SY-24,24/12/2022,0,0,0
215,12SY-24,25/12/2022,0,0,0
216,12SY-24,26/12/2022,0,0,0
217,12SY-24,27/12/2022,0,0,0
218,12SY-24,28/12/2022,0,0,0
219,12SY-24,29/12/2022,0,0,0
220,12SY-24,30/12/2022,0,0,0
221,12SY-24,31/12/2022,0,0,0
222,12SY-24,01/01/2023,0,0,0
223,12SY-24,02/01/2023,0,0,0
224,12SY-24,03/01/2023,0,0,0
225,25-34,09/11/2022,0,0,0
226,25-34,10/11/2022,0,0,0
227,25-34,11/11/2022,0,0,0
228,25-34,12/11/2022,0,0,0
229,25-34,13/11/2022,0,0,0
230,25-34,14/11/2022,0,0,0
231,25-34,15/11/2022,0,0,0
232,25-34,16/11/2022,0,0,0
233,25-34,17/11/2022,0,0,0
234,25-34,18/11/2022,0,0,0
235,25-34,19/11/2022,0,0,0
236,25-34,20/11/2022,0,0,0
237,25-34,21/11/2022,0,0,0
238,25-34,22/11/2022,0,0,0
239,25-34,23/11/2022,0,0,0
240,25-34,24/11/2022,0,0,0
241,25-34,25/11/2022,0,0,0
242,25-34,26/11/2022,0,0,0
243,25-34,27/11/2022,0,0,0
244,25-34,28/11/2022,0,0,0
245,25-34,29/11/2022,0,0,0
246,25-34,30/11/2022,0,0,0
247,25-34,01/12/2022,0,0,0
248,25-34,02/12/2022,0,0,0
249,25-34,03/12/2022,0,0,0
250,25-34,04/12/2022,0,0,0
251,25-34,05/12/2022,0,0,0
252,25-34,06/12/2022,0,0,0
253,25-34,07/12/2022,0,0,0
254,25-34,08/12/2022,0,0,0
255,25-34,09/12/2022,0,0,0
256,25-34,10/12/2022,0,0,0
257,25-34,11/12/2022,0,0,0
258,25-34,12/12/2022,0,0,0
259,25-34,13/12/2022,0,0,0
260,25-34,14/12/2022,0,0,0
261,25-34,15/12/2022,0,0,0
262,25-34,16/12/2022,0,0,0
263,25-34,17/12/2022,0,0,0
264,25-34,18/12/2022,0,0,0
265,25-34,19/12/2022,0,0,0
266,25-34,20/12/2022,0,0,0
267,25-34,21/12/2022,0,0,0
268,25-34,22/12/2022,0,0,0
269,25-34,23/12/2022,0,0,0
270,25-34,24/12/2022,0,0,0
271,25-34,25/12/2022,0,0,0
272,25-34,26/12/2022,0,0,0
273,25-34,27/12/2022,0,0,0
274,25-34,28/12/2022,0,0,0
275,25-34,29/12/2022,0,0,0
276,25-34,30/12/2022,0,0,0
277,25-34,31/12/2022,0,0,0
278,25-34,01/01/2023,0,0,0
279,25-34,02/01/2023,0,0,0
280,25-34,03/01/2023,0,0,0
281,35-49,09/11/2022,0,0,0
282,35-49,10/11/2022,0,0,0
283,35-49,11/11/2022,0,0,0
284,35-49,12/11/2022,0,0,0
285,35-49,13/11/2022,0,0,0
286,35-49,14/11/2022,0,0,0
287,35-49,15/11/2022,0,0,0
288,35-49,16/11/2022,0,0,0
289,35-49,17/11/2022,0,0,0
290,35-49,18/11/2022,0,0,0
291,35-49,19/11/2022,0,0,0
292,35-49,20/11/2022,0,0,0
293,35-49,21/11/2022,0,0,0
294,35-49,22/11/2022,0,0,0
295,35-49,23/11/2022,0,0,0
296,35-49,24/11/2022,0,0,0
297,35-49,25/11/2022,0,0,0
298,35-49,26/11/2022,0,0,0
299,35-49,27/11/2022,0,0,0
300,35-49,28/11/2022,0,0,0
301,35-49,29/11/2022,0,0,0
302,35-49,30/11/2022,0,0,0
303,35-49,01/12/2022,0,0,0
304,35-49,02/12/2022,0,0,0
305,35-49,03/12/2022,0,0,0
306,35-49,04/12/2022,0,0,0
307,35-49,05/12/2022,0,0,0
308,35-49,06/12/2022,0,0,0
309,35-49,07/12/2022,0,0,0
310,35-49,08/12/2022,0,0,0
311,35-49,09/12/2022,0,0,0
312,35-49,10/12/2022,0,0,0
313,35-49,11/12/2022,0,0,0
314,35-49,12/12/2022,0,0,0
315,35-49,13/12/2022,0,0,0
316,35-49,14/12/2022,0,0,0
317,35-49,15/12/2022,0,0,0
318,35-49,16/12/2022,0,0,0
319,35-49,17/12/2022,0,0,0
320,35-49,18/12/2022,0,0,0
321,35-49,19/12/2022,0,0,0
322,35-49,20/12/2022,0,0,0
323,35-49,21/12/2022,0,0,0
324,35-49,22/12/2022,0,0,0
325,35-49,23/12/2022,0,0,0
326,35-49,24/12/2022,0,0,0
327,35-49,25/12/2022,0,0,0
328,35-49,26/12/2022,0,0,0
329,35-49,27/12/2022,0,0,0
330,35-49,28/12/2022,0,0,0
331,35-49,29/12/2022,0,0,0
332,35-49,30/12/2022,0,0,0
333,35-49,31/12/2022,0,0,0
334,35-49,01/01/2023,0,0,0
335,35-49,02/01/2023,0,0,0
336,35-49,03/01/2023,0,0,0
337,50-69,09/11/2022,0,0,0
338,50-69,10/11/2022,0,0,0
339,50-69,11/11/2022,0,0,0
340,50-69,12/11/2022,0,0,0
341,50-69,13/11/2022,0,0,0
342,50-69,14/11/2022,0,0,0
343,50-69,15/11/2022,0,0,0
344,50-69,16/11/2022,0,0,0
345,50-69,17/11/2022,0,0,0
346,50-69,18/11/2022,0,0,0
347,50-69,19/11/2022,0,0,0
348,50-69,20/11/2022,0,0,0
349,50-69,21/11/2022,0,0,0
350,50-69,22/11/2022,0,0,0
351,50-69,23/11/2022,0,0,0
352,50-69,24/11/2022,0,0,0
353,50-69,25/11/2022,0,0,0
354,50-69,26/11/2022,0,0,0
355,50-69,27/11/2022,0,0,0
356,50-69,28/11/2022,0,0,0
357,50-69,29/11/2022,0,0,0
358,50-69,30/11/2022,0,0,0
359,50-69,01/12/2022,0,0,0
360,50-69,02/12/2022,0,0,0
361,50-69,03/12/2022,0,0,0
362,50-69,04/12/2022,0,0,0
363,50-69,05/12/2022,0,0,0
364,50-69,06/12/2022,0,0,0
365,50-69,07/12/2022,0,0,0
366,50-69,08/12/2022,0,0,0
367,50-69,09/12/2022,0,0,0
368,50-69,10/12/2022,0,0,0
369,50-69,11/12/2022,0,0,0
370,50-69,12/12/2022,0,0,0
371,50-69,13/12/2022,0,0,0
372,50-69,14/12/2022,0,0,0
373,50-69,15/12/2022,0,0,0
374,50-69,16/12/2022,0,0,0
375,50-69,17/12/2022,0,0,0
376,50-69,18/12/2022,0,0,0
377,50-69,19/12/2022,0,0,0
378,50-69,20/12/2022,0,0,0
379,50-69,21/12/2022,0,0,0
380,50-69,22/12/2022,0,0,0
381,50-69,23/12/2022,0,0,0
382,50-69,24/12/2022,0,0,0
383,50-69,25/12/2022,0,0,0
384,50-69,26/12/2022,0,0,0
385,50-69,27/12/2022,0,0,0
386,50-69,28/12/2022,0,0,0
387,50-69,29/12/2022,0,0,0
388,50-69,30/12/2022,0,0,0
389,50-69,31/12/2022,0,0,0
390,50-69,01/01/2023,0,0,0
391,50-69,02/01/2023,0,0,0
392,50-69,03/01/2023,0,0,0
393,70+,09/11/2022,0,0,0
394,70+,10/11/2022,0,0,0
395,70+,11/11/2022,0,0,0
396,70+,12/11/2022,0,0,0
397,70+,13/11/2022,0,0,0
398,70+,14/11/2022,0,0,0
399,70+,15/11/2022,0,0,0
400,70+,16/11/2022,0,0,0
401,70+,17/11/2022,0,0,0
402,70+,18/11/2022,0,0,0
403,70+,19/11/2022,0,0,0
404,70+,20/11/2022,0,0,0
405,70+,21/11/2022,0,0,0
406,70+,22/11/2022,0,0,0
407,70+,23/11/2022,0,0,0
408,70+,24/11/2022,0,0,0
409,70+,25/11/2022,0,0,0
410,70+,26/11/2022,0,0,0
411,70+,27/11/2022,0,0,0
412,70+,28/11/2022,0,0,0
413,70+,29/11/2022,0,0,0
414,70+,30/11/2022,0,0,0
415,70+,01/12/2022,0,0,0
416,70+,02/12/2022,0,0,0
417,70+,03/12/2022,0,0,0
418,70+,04/12/2022,0,0,0
419,70+,05/12/2022,0,0,0
420,70+,06/12/2022,0,0,0
421,70+,07/12/2022,0,0,0
422,70+,08/12/2022,0,0,0
423,70+,09/12/2022,0,0,0
424,70+,10/12/2022,0,0,0
425,70+,11/12/2022,0,0,0
426,70+,12/12/2022,0,0,0
427,70+,13/12/2022,0,0,0
428,70+,14/12/2022,0,0,0
429,70+,15/12/2022,0,0,0
430,70+,16/12/2022,0,0,0
431,70+,17/12/2022,0,0,0
432,70+,18/12/2022,0,0,0
433,70+,19/12/2022,0,0,0
434,70+,20/12/2022,0,0,0
435,70+,21/12/2022,0,0,0
436,70+,22/12/2022,0,0,0
437,70+,23/12/2022,0,0,0
438,70+,24/12/2022,0,0,0
439,70+,25/12/2022,0,0,0
440,70+,26/12/2022,0,0,0
441,70+,27/12/2022,0,0,0
442,70+,28/12/2022,0,0,0
443,70+,29/12/2022,0,0,0
444,70+,30/12/2022,0,0,0
445,70+,31/12/2022,0,0,0
446,70+,01/01/2023,0,0,0
447,70+,02/01/2023,0,0,0
448,70+,03/01/2023,0,0,0
1,All,09/11/2022,0,0,0
2,All,10/11/2022,0,0,0
3,All,11/11/2022,0,0,0
4,All,12/11/2022,0,0,0
5,All,13/11/2022,0,0,0
6,All,14/11/2022,0,0,0
7,All,15/11/2022,0,0,0
8,All,16/11/2022,0,0,0
9,All,17/11/2022,0,0,0
10,All,18/11/2022,0,0,0
11,All,19/11/2022,0,0,0
12,All,20/11/2022,0,0,0
13,All,21/11/2022,0,0,0
14,All,22/11/2022,0,0,0
15,All,23/11/2022,0,0,0
16,All,24/11/2022,0,0,0
17,All,25/11/2022,0,0,0
18,All,26/11/2022,0,0,0
19,All,27/11/2022,0,0,0
20,All,28/11/2022,0,0,0
21,All,29/11/2022,0,0,0
22,All,30/11/2022,0,0,0
23,All,01/12/2022,0,0,0
24,All,02/12/2022,0,0,0
25,All,03/12/2022,0,0,0
26,All,04/12/2022,0,0,0
27,All,05/12/2022,0,0,0
28,All,06/12/2022,0,0,0
29,All,07/12/2022,0,0,0
30,All,08/12/2022,0,0,0
31,All,09/12/2022,0,0,0
32,All,10/12/2022,0,0,0
33,All,11/12/2022,0,0,0
34,All,12/12/2022,0,0,0
35,All,13/12/2022,0,0,0
36,All,14/12/2022,0,0,0
37,All,15/12/2022,0,0,0
38,All,16/12/2022,0,0,0
39,All,17/12/2022,0,0,0
40,All,18/12/2022,0,0,0
41,All,19/12/2022,0,0,0
42,All,20/12/2022,0,0,0
43,All,21/12/2022,0,0,0
44,All,22/12/2022,0,0,0
45,All,23/12/2022,0,0,0
46,All,24/12/2022,0,0,0
47,All,25/12/2022,0,0,0
48,All,26/12/2022,0,0,0
49,All,27/12/2022,0,0,0
50,All,28/12/2022,0,0,0
51,All,29/12/2022,0,0,0
52,All,30/12/2022,0,0,0
53,All,31/12/2022,0,0,0
54,All,01/01/2023,0,0,0
55,All,02/01/2023,0,0,0
56,All,03/01/2023,0,0,0
