X,study_day,visit_date,age_at_visit,region,prob,lower.CL,upper.CL
383,47,22/12/2022,9,Wales,0,0,0
384,48,23/12/2022,9,Wales,0,0,0
385,49,24/12/2022,9,Wales,0,0,0
386,50,25/12/2022,9,Wales,0,0,0
387,51,26/12/2022,9,Wales,0,0,0
388,52,27/12/2022,9,Wales,0,0,0
389,53,28/12/2022,9,Wales,0,0,0
390,54,29/12/2022,9,Wales,0,0,0
391,55,30/12/2022,9,Wales,0,0,0
392,56,31/12/2022,9,Wales,0,0,0
393,1,06/11/2022,10,Wales,0,0,0
394,2,07/11/2022,10,Wales,0,0,0
395,3,08/11/2022,10,Wales,0,0,0
396,4,09/11/2022,10,Wales,0,0,0
397,5,10/11/2022,10,Wales,0,0,0
398,6,11/11/2022,10,Wales,0,0,0
399,7,12/11/2022,10,Wales,0,0,0
400,8,13/11/2022,10,Wales,0,0,0
401,9,14/11/2022,10,Wales,0,0,0
402,10,15/11/2022,10,Wales,0,0,0
403,11,16/11/2022,10,Wales,0,0,0
404,12,17/11/2022,10,Wales,0,0,0
405,13,18/11/2022,10,Wales,0,0,0
406,14,19/11/2022,10,Wales,0,0,0
407,15,20/11/2022,10,Wales,0,0,0
408,16,21/11/2022,10,Wales,0,0,0
409,17,22/11/2022,10,Wales,0,0,0
410,18,23/11/2022,10,Wales,0,0,0
411,19,24/11/2022,10,Wales,0,0,0
412,20,25/11/2022,10,Wales,0,0,0
413,21,26/11/2022,10,Wales,0,0,0
414,22,27/11/2022,10,Wales,0,0,0
415,23,28/11/2022,10,Wales,0,0,0
416,24,29/11/2022,10,Wales,0,0,0
417,25,30/11/2022,10,Wales,0,0,0
418,26,01/12/2022,10,Wales,0,0,0
419,27,02/12/2022,10,Wales,0,0,0
420,28,03/12/2022,10,Wales,0,0,0
421,29,04/12/2022,10,Wales,0,0,0
422,30,05/12/2022,10,Wales,0,0,0
423,31,06/12/2022,10,Wales,0,0,0
424,32,07/12/2022,10,Wales,0,0,0
425,33,08/12/2022,10,Wales,0,0,0
426,34,09/12/2022,10,Wales,0,0,0
427,35,10/12/2022,10,Wales,0,0,0
428,36,11/12/2022,10,Wales,0,0,0
429,37,12/12/2022,10,Wales,0,0,0
430,38,13/12/2022,10,Wales,0,0,0
431,39,14/12/2022,10,Wales,0,0,0
432,40,15/12/2022,10,Wales,0,0,0
433,41,16/12/2022,10,Wales,0,0,0
434,42,17/12/2022,10,Wales,0,0,0
435,43,18/12/2022,10,Wales,0,0,0
436,44,19/12/2022,10,Wales,0,0,0
437,45,20/12/2022,10,Wales,0,0,0
438,46,21/12/2022,10,Wales,0,0,0
439,47,22/12/2022,10,Wales,0,0,0
440,48,23/12/2022,10,Wales,0,0,0
441,49,24/12/2022,10,Wales,0,0,0
442,50,25/12/2022,10,Wales,0,0,0
443,51,26/12/2022,10,Wales,0,0,0
444,52,27/12/2022,10,Wales,0,0,0
445,53,28/12/2022,10,Wales,0,0,0
446,54,29/12/2022,10,Wales,0,0,0
447,55,30/12/2022,10,Wales,0,0,0
448,56,31/12/2022,10,Wales,0,0,0
449,1,06/11/2022,11,Wales,0,0,0
450,2,07/11/2022,11,Wales,0,0,0
451,3,08/11/2022,11,Wales,0,0,0
452,4,09/11/2022,11,Wales,0,0,0
453,5,10/11/2022,11,Wales,0,0,0
454,6,11/11/2022,11,Wales,0,0,0
455,7,12/11/2022,11,Wales,0,0,0
456,8,13/11/2022,11,Wales,0,0,0
457,9,14/11/2022,11,Wales,0,0,0
458,10,15/11/2022,11,Wales,0,0,0
459,11,16/11/2022,11,Wales,0,0,0
460,12,17/11/2022,11,Wales,0,0,0
461,13,18/11/2022,11,Wales,0,0,0
462,14,19/11/2022,11,Wales,0,0,0
463,15,20/11/2022,11,Wales,0,0,0
464,16,21/11/2022,11,Wales,0,0,0
465,17,22/11/2022,11,Wales,0,0,0
466,18,23/11/2022,11,Wales,0,0,0
467,19,24/11/2022,11,Wales,0,0,0
468,20,25/11/2022,11,Wales,0,0,0
469,21,26/11/2022,11,Wales,0,0,0
470,22,27/11/2022,11,Wales,0,0,0
471,23,28/11/2022,11,Wales,0,0,0
472,24,29/11/2022,11,Wales,0,0,0
473,25,30/11/2022,11,Wales,0,0,0
474,26,01/12/2022,11,Wales,0,0,0
475,27,02/12/2022,11,Wales,0,0,0
476,28,03/12/2022,11,Wales,0,0,0
477,29,04/12/2022,11,Wales,0,0,0
478,30,05/12/2022,11,Wales,0,0,0
479,31,06/12/2022,11,Wales,0,0,0
480,32,07/12/2022,11,Wales,0,0,0
481,33,08/12/2022,11,Wales,0,0,0
482,34,09/12/2022,11,Wales,0,0,0
483,35,10/12/2022,11,Wales,0,0,0
484,36,11/12/2022,11,Wales,0,0,0
485,37,12/12/2022,11,Wales,0,0,0
486,38,13/12/2022,11,Wales,0,0,0
487,39,14/12/2022,11,Wales,0,0,0
488,40,15/12/2022,11,Wales,0,0,0
489,41,16/12/2022,11,Wales,0,0,0
490,42,17/12/2022,11,Wales,0,0,0
491,43,18/12/2022,11,Wales,0,0,0
492,44,19/12/2022,11,Wales,0,0,0
493,45,20/12/2022,11,Wales,0,0,0
494,46,21/12/2022,11,Wales,0,0,0
495,47,22/12/2022,11,Wales,0,0,0
496,48,23/12/2022,11,Wales,0,0,0
497,49,24/12/2022,11,Wales,0,0,0
498,50,25/12/2022,11,Wales,0,0,0
499,51,26/12/2022,11,Wales,0,0,0
500,52,27/12/2022,11,Wales,0,0,0
501,53,28/12/2022,11,Wales,0,0,0
502,54,29/12/2022,11,Wales,0,0,0
503,55,30/12/2022,11,Wales,0,0,0
504,56,31/12/2022,11,Wales,0,0,0
505,1,06/11/2022,12,Wales,0,0,0
506,2,07/11/2022,12,Wales,0,0,0
507,3,08/11/2022,12,Wales,0,0,0
508,4,09/11/2022,12,Wales,0,0,0
509,5,10/11/2022,12,Wales,0,0,0
510,6,11/11/2022,12,Wales,0,0,0
511,7,12/11/2022,12,Wales,0,0,0
512,8,13/11/2022,12,Wales,0,0,0
513,9,14/11/2022,12,Wales,0,0,0
514,10,15/11/2022,12,Wales,0,0,0
515,11,16/11/2022,12,Wales,0,0,0
516,12,17/11/2022,12,Wales,0,0,0
517,13,18/11/2022,12,Wales,0,0,0
518,14,19/11/2022,12,Wales,0,0,0
519,15,20/11/2022,12,Wales,0,0,0
520,16,21/11/2022,12,Wales,0,0,0
521,17,22/11/2022,12,Wales,0,0,0
522,18,23/11/2022,12,Wales,0,0,0
523,19,24/11/2022,12,Wales,0,0,0
524,20,25/11/2022,12,Wales,0,0,0
525,21,26/11/2022,12,Wales,0,0,0
526,22,27/11/2022,12,Wales,0,0,0
527,23,28/11/2022,12,Wales,0,0,0
528,24,29/11/2022,12,Wales,0,0,0
529,25,30/11/2022,12,Wales,0,0,0
530,26,01/12/2022,12,Wales,0,0,0
531,27,02/12/2022,12,Wales,0,0,0
532,28,03/12/2022,12,Wales,0,0,0
533,29,04/12/2022,12,Wales,0,0,0
534,30,05/12/2022,12,Wales,0,0,0
535,31,06/12/2022,12,Wales,0,0,0
536,32,07/12/2022,12,Wales,0,0,0
537,33,08/12/2022,12,Wales,0,0,0
538,34,09/12/2022,12,Wales,0,0,0
539,35,10/12/2022,12,Wales,0,0,0
540,36,11/12/2022,12,Wales,0,0,0
541,37,12/12/2022,12,Wales,0,0,0
542,38,13/12/2022,12,Wales,0,0,0
543,39,14/12/2022,12,Wales,0,0,0
544,40,15/12/2022,12,Wales,0,0,0
545,41,16/12/2022,12,Wales,0,0,0
546,42,17/12/2022,12,Wales,0,0,0
547,43,18/12/2022,12,Wales,0,0,0
548,44,19/12/2022,12,Wales,0,0,0
549,45,20/12/2022,12,Wales,0,0,0
550,46,21/12/2022,12,Wales,0,0,0
551,47,22/12/2022,12,Wales,0,0,0
552,48,23/12/2022,12,Wales,0,0,0
553,49,24/12/2022,12,Wales,0,0,0
554,50,25/12/2022,12,Wales,0,0,0
555,51,26/12/2022,12,Wales,0,0,0
556,52,27/12/2022,12,Wales,0,0,0
557,53,28/12/2022,12,Wales,0,0,0
558,54,29/12/2022,12,Wales,0,0,0
559,55,30/12/2022,12,Wales,0,0,0
560,56,31/12/2022,12,Wales,0,0,0
561,1,06/11/2022,13,Wales,0,0,0
562,2,07/11/2022,13,Wales,0,0,0
563,3,08/11/2022,13,Wales,0,0,0
564,4,09/11/2022,13,Wales,0,0,0
565,5,10/11/2022,13,Wales,0,0,0
566,6,11/11/2022,13,Wales,0,0,0
567,7,12/11/2022,13,Wales,0,0,0
568,8,13/11/2022,13,Wales,0,0,0
569,9,14/11/2022,13,Wales,0,0,0
570,10,15/11/2022,13,Wales,0,0,0
571,11,16/11/2022,13,Wales,0,0,0
572,12,17/11/2022,13,Wales,0,0,0
573,13,18/11/2022,13,Wales,0,0,0
574,14,19/11/2022,13,Wales,0,0,0
575,15,20/11/2022,13,Wales,0,0,0
576,16,21/11/2022,13,Wales,0,0,0
577,17,22/11/2022,13,Wales,0,0,0
578,18,23/11/2022,13,Wales,0,0,0
579,19,24/11/2022,13,Wales,0,0,0
580,20,25/11/2022,13,Wales,0,0,0
581,21,26/11/2022,13,Wales,0,0,0
582,22,27/11/2022,13,Wales,0,0,0
583,23,28/11/2022,13,Wales,0,0,0
584,24,29/11/2022,13,Wales,0,0,0
585,25,30/11/2022,13,Wales,0,0,0
586,26,01/12/2022,13,Wales,0,0,0
587,27,02/12/2022,13,Wales,0,0,0
588,28,03/12/2022,13,Wales,0,0,0
589,29,04/12/2022,13,Wales,0,0,0
590,30,05/12/2022,13,Wales,0,0,0
591,31,06/12/2022,13,Wales,0,0,0
592,32,07/12/2022,13,Wales,0,0,0
593,33,08/12/2022,13,Wales,0,0,0
594,34,09/12/2022,13,Wales,0,0,0
595,35,10/12/2022,13,Wales,0,0,0
596,36,11/12/2022,13,Wales,0,0,0
597,37,12/12/2022,13,Wales,0,0,0
598,38,13/12/2022,13,Wales,0,0,0
599,39,14/12/2022,13,Wales,0,0,0
600,40,15/12/2022,13,Wales,0,0,0
601,41,16/12/2022,13,Wales,0,0,0
602,42,17/12/2022,13,Wales,0,0,0
603,43,18/12/2022,13,Wales,0,0,0
604,44,19/12/2022,13,Wales,0,0,0
605,45,20/12/2022,13,Wales,0,0,0
